,credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not_fully_paid
33,0,credit_card,0.2262,160.54,10.2326,0.34,828,6181.8,12942,43.2,4,0,0,0
34,0,educational,0.23,228.44,11.3442,1.06,621,9015.1,22802,22.6,7,2,0,0
35,1,home_improvement,0.23,641.63,10.5022,23.78,827,1007.6,17786,48.0,3,1,1,0
36,1,small_business,0.23,268.57,10.1722,14.69,642,16656.2,9996,16.3,4,1,0,1
37,0,educational,0.23,808.1,10.5833,4.49,730,2684.7,56723,66.7,2,2,1,0
38,0,small_business,0.23,608.59,11.102,10.76,691,12602.0,15213,60.6,1,2,0,1
39,0,major_purchase,0.23,757.44,10.7336,4.96,754,11690.7,30422,81.0,5,0,0,1
40,1,small_business,0.2233,572.91,10.9205,3.39,771,14754.1,49688,45.0,2,2,0,1
41,0,home_improvement,0.2087,788.52,11.3177,8.29,800,12073.6,21861,27.9,4,1,1,1
42,0,small_business,0.23,357.43,11.5495,16.49,704,14079.6,56237,83.6,4,1,0,1
43,1,all_other,0.23,516.77,10.7139,6.3,815,8161.2,24258,69.1,6,2,1,1
44,0,educational,0.23,488.51,10.2735,10.31,687,9308.0,56807,70.7,7,0,1,0
45,0,credit_card,0.23,818.22,10.9457,14.34,662,12928.3,27109,52.8,4,2,1,1
46,0,educational,0.23,190.18,11.1824,12.6,699,10663.3,865,87.6,0,1,1,1
47,0,educational,0.23,541.35,10.0236,3.86,730,9696.2,52069,22.8,4,2,1,0
48,1,debt_consolidation,0.23,691.27,10.3656,1.17,760,4494.5,51842,40.2,7,1,1,1
49,1,small_business,0.23,364.54,10.4685,1.06,794,5387.8,57740,79.6,3,2,1,0
50,0,educational,0.23,787.44,10.7753,10.51,667,7094.5,7434,13.3,4,1,1,1
51,0,small_business,0.23,367.06,10.4434,21.56,683,1157.8,50649,80.8,6,1,0,0
52,0,all_other,0.2274,197.31,11.3242,3.94,817,8095.2,20495,35.3,3,1,0,0
53,1,educational,0.23,546.44,9.9369,23.61,712,1047.1,50499,12.6,3,2,0,1
54,0,home_improvement,0.23,407.48,9.9522,21.47,670,10605.3,57811,7.9,3,2,0,1
55,0,debt_consolidation,0.23,62.91,10.6997,0.12,826,12968.5,11940,84.3,6,0,0,0
56,1,credit_card,0.23,109.36,10.7946,0.8,714,10556.5,22273,77.9,3,2,0,0
57,0,small_business,0.23,215.99,10.0272,5.85,826,12789.8,16120,28.8,2,1,1,0
58,0,home_improvement,0.1906,703.93,10.536,1.68,813,1000.2,18278,11.6,4,0,0,0
59,0,credit_card,0.2075,808.23,10.6594,15.94,810,2010.5,35762,24.7,5,2,1,0
60,1,major_purchase,0.23,513.79,10.664,1.19,742,12873.9,24747,21.3,7,0,1,0
61,1,debt_consolidation,0.23,139.73,10.9911,24.08,787,14649.3,39368,73.3,7,2,1,1
62,1,credit_card,0.1813,504.26,10.5031,14.79,821,13200.9,40463,21.6,6,1,1,0
63,0,home_improvement,0.23,777.26,11.7867,21.84,676,12271.2,12162,21.6,6,2,0,1
64,1,debt_consolidation,0.23,687.06,11.1929,22.52,627,13025.5,2635,3.2,3,1,1,0
65,1,all_other,0.23,297.43,10.4157,15.2,687,13573.0,44776,59.7,2,0,1,1
66,0,educational,0.23,155.31,10.9567,27.76,753,13314.4,10895,68.9,4,2,0,1
67,0,educational,0.23,815.58,10.9744,29.71,734,13546.1,11997,65.3,5,2,1,0
68,0,educational,0.23,775.98,11.6288,10.78,636,2258.3,36080,56.9,4,0,0,0
69,1,all_other,0.23,95.66,10.5398,3.78,737,2075.6,15780,96.6,1,0,0,1
70,0,debt_consolidation,0.23,750.12,11.3604,10.9,656,7139.0,11384,47.3,0,2,0,0
71,0,major_purchase,0.23,132.63,10.9251,6.7,726,9969.1,18407,86.0,0,2,1,1
72,1,all_other,0.23,103.79,11.7949,15.93,740,13964.5,31357,64.6,3,0,1,0
73,0,major_purchase,0.2202,694.81,11.6745,11.35,753,6690.0,50759,8.4,6,2,0,1
74,1,debt_consolidation,0.23,505.86,11.0182,14.41,706,5677.0,59320,81.0,6,0,0,1
75,0,small_business,0.23,402.37,10.7426,22.9,705,14284.6,43925,58.4,6,0,1,0
76,0,small_business,0.23,818.28,11.204,8.22,762,5238.7,53932,65.4,5,1,1,1
77,1,educational,0.2294,763.41,10.7917,16.12,777,14954.3,31841,18.0,0,2,0,0
78,1,debt_consolidation,0.1953,98.98,11.9082,10.05,789,4011.3,24499,43.7,7,2,0,0
79,0,all_other,0.23,573.67,10.9471,23.55,690,7111.0,49184,88.1,7,1,1,1
80,1,educational,0.23,706.43,10.6566,19.19,709,7818.3,18143,21.5,6,0,0,0
81,1,all_other,0.23,517.92,10.6242,0.26,689,6091.7,48775,0.0,3,1,0,0
82,0,small_business,0.23,885.55,10.1722,19.8,730,1057.1,59891,25.8,1,2,0,0
83,1,credit_card,0.23,633.14,11.2339,5.1,646,5003.7,23389,48.8,7,2,0,0
84,0,major_purchase,0.23,138.52,10.408,21.73,710,6740.1,38005,82.1,1,0,1,1
85,1,credit_card,0.23,218.55,11.5589,17.02,659,6331.6,46886,64.3,6,1,1,1
86,0,small_business,0.23,752.31,10.1242,12.04,731,14354.4,47010,91.9,7,1,0,1
87,0,educational,0.23,897.24,10.9763,20.82,798,1805.3,12374,45.6,7,1,1,0
88,1,small_business,0.2066,133.59,11.5901,25.7,826,7612.1,57756,39.1,4,0,0,1
89,1,home_improvement,0.23,135.28,9.6087,23.36,713,1637.8,30193,23.1,6,0,0,1
90,0,credit_card,0.23,698.88,12.111,16.36,631,16821.0,2507,21.8,6,1,1,0
91,1,all_other,0.23,104.7,10.6448,21.68,667,14433.6,7094,73.6,7,0,0,1
92,0,major_purchase,0.23,108.28,10.9847,12.42,642,17696.7,43655,8.0,2,1,1,0
93,1,credit_card,0.23,805.49,11.2429,23.67,779,16472.7,25607,24.3,5,0,1,1
94,1,small_business,0.2194,730.38,11.3357,24.87,826,6368.8,6476,88.6,6,2,1,1
95,1,home_improvement,0.23,799.33,11.0643,4.12,736,12756.9,31221,57.7,1,0,1,1
96,1,all_other,0.23,602.94,11.4984,7.14,657,6211.4,35972,4.7,1,1,0,1
97,1,major_purchase,0.23,324.16,11.2114,8.1,624,16099.6,4795,70.4,3,1,0,0
98,1,all_other,0.23,820.37,11.9565,4.98,824,7982.8,21006,50.7,2,1,1,1
99,1,all_other,0.23,303.91,11.2134,11.78,686,7390.1,27756,85.5,6,1,0,0
100,0,home_improvement,0.23,284.18,12.0788,5.79,643,16539.2,46820,68.2,7,1,1,0
101,1,major_purchase,0.23,803.44,11.4406,17.87,657,15224.6,39100,0.4,1,2,0,1
102,1,educational,0.23,628.7,9.8165,3.05,673,17429.0,5221,20.6,2,2,0,0
103,0,small_business,0.23,811.32,12.4667,8.1,757,2130.3,36845,25.8,7,0,1,0
104,1,small_business,0.23,182.52,10.5554,19.97,807,5136.8,54152,70.2,4,2,0,1
105,1,major_purchase,0.23,859.45,11.7973,11.96,677,6114.6,3261,50.9,1,1,1,0
106,0,credit_card,0.223,570.83,10.9161,12.64,764,8214.0,59198,74.7,4,0,1,1
107,0,credit_card,0.23,617.83,11.5367,23.94,633,9043.2,5720,51.3,7,2,1,0
108,0,home_improvement,0.23,826.95,10.4869,29.54,622,5955.0,37359,32.7,2,2,0,1
109,1,small_business,0.23,373.64,11.2754,16.95,631,14437.7,21081,10.4,3,0,0,0
110,1,small_business,0.23,661.64,10.7481,2.37,813,4795.2,43847,20.3,4,0,0,0
111,1,credit_card,0.23,594.29,11.8474,3.09,742,12840.8,50561,40.1,6,1,1,0
112,1,major_purchase,0.23,719.59,11.1632,29.06,789,15480.1,51111,55.1,4,2,0,0
113,0,all_other,0.23,812.4,11.4616,20.38,624,11262.9,52185,93.9,7,0,0,1
114,1,educational,0.23,628.05,9.6016,22.57,624,7020.7,48975,24.0,6,1,1,0
115,0,major_purchase,0.1908,107.49,10.8487,20.27,798,4194.2,18576,66.6,3,1,1,1
116,0,educational,0.23,205.67,11.1463,5.39,641,3283.9,27918,15.3,3,2,0,1
117,0,small_business,0.23,860.88,11.0342,13.45,652,13651.0,43133,71.4,5,2,0,1
118,1,home_improvement,0.23,873.35,11.4767,23.94,728,8975.2,10102,1.1,0,2,0,0
119,0,credit_card,0.23,872.3,10.6805,25.99,747,1787.4,34643,65.6,1,0,0,0
120,0,all_other,0.23,81.28,10.9293,7.12,668,17725.3,31812,16.3,1,2,0,1
121,0,educational,0.23,375.08,11.6087,17.88,713,12412.2,59005,18.0,6,1,0,0
122,0,all_other,0.23,695.72,9.5328,4.71,761,15351.1,2983,55.9,6,1,1,0
123,1,debt_consolidation,0.23,689.95,11.2536,28.75,712,8449.2,5678,37.5,6,2,0,1
124,1,credit_card,0.23,123.02,10.6997,7.57,700,17242.5,1806,47.1,0,2,1,1
125,1,small_business,0.23,568.07,10.3526,21.8,635,4391.9,32872,30.9,2,0,0,0
126,1,small_business,0.23,171.44,11.1019,6.93,714,4147.3,33046,95.3,2,0,1,0
127,1,educational,0.2042,469.23,11.6365,18.48,788,16135.7,35552,29.1,0,2,1,0
128,1,educational,0.23,253.73,11.5235,19.78,751,16159.2,14525,54.2,2,2,1,0
129,0,home_improvement,0.2276,95.19,10.8189,9.85,807,9483.3,18460,85.4,3,1,1,1
130,1,home_improvement,0.23,118.02,11.4254,24.57,646,3138.4,25011,66.4,7,0,0,1
131,1,major_purchase,0.23,824.26,11.4208,26.56,622,6188.7,2817,32.3,1,0,1,1
132,1,debt_consolidation,0.23,682.95,10.8476,25.65,735,13820.6,45148,55.2,6,2,0,1
133,0,small_business,0.23,842.05,10.4842,9.92,657,15381.9,3126,8.3,6,2,1,1
134,0,home_improvement,0.23,449.49,10.5189,22.33,744,6910.1,40013,54.6,1,2,0,0
135,1,major_purchase,0.23,401.3,11.4027,16.78,809,2041.0,27217,43.1,2,1,0,1
136,1,major_purchase,0.23,354.65,10.8747,17.78,690,12317.4,59929,75.8,3,1,1,1
137,0,small_business,0.23,573.86,10.2723,14.32,735,13571.4,41548,84.8,7,0,1,1
138,1,small_business,0.23,348.83,9.8891,18.01,763,8208.2,28532,20.0,6,2,0,0
139,0,small_business,0.23,684.33,11.3991,4.07,651,10912.7,42010,8.2,7,2,0,1
140,1,small_business,0.23,731.12,10.5719,12.27,808,17785.3,7036,39.1,2,0,1,1
141,0,credit_card,0.23,794.47,11.0982,5.33,662,5165.0,10858,53.4,7,1,0,1
142,0,credit_card,0.1969,256.38,11.6438,8.4,789,10740.6,29937,37.7,7,1,0,0
143,1,major_purchase,0.23,497.97,10.1146,3.83,758,11386.3,51478,62.9,4,2,0,1
144,1,small_business,0.23,239.93,10.8729,6.37,649,10334.8,49204,50.6,1,2,0,1
145,0,credit_card,0.23,81.92,10.7976,23.46,772,15775.2,22629,93.7,2,0,0,0
146,0,educational,0.23,651.65,11.1278,16.5,661,11285.1,17020,40.9,1,2,0,0
147,1,educational,0.23,516.63,11.6435,0.71,745,9634.1,57862,8.2,6,0,1,0
148,0,small_business,0.1899,665.34,10.1023,23.66,821,3091.3,33925,30.2,2,2,1,1
149,1,credit_card,0.2228,124.48,11.2419,27.28,820,12954.6,7089,60.6,5,2,0,0
150,1,educational,0.1921,896.2,11.5189,26.41,802,3245.8,13495,25.6,2,0,0,0
151,1,credit_card,0.23,895.2,10.7882,24.69,723,1451.7,50187,26.9,7,2,0,0
152,0,home_improvement,0.23,445.25,10.8175,29.77,737,9305.0,53894,34.0,6,0,1,0
153,0,educational,0.23,786.15,11.1511,17.59,683,10731.6,54500,74.6,3,0,1,0
154,1,home_improvement,0.1972,257.03,11.1069,28.88,813,17983.9,415,94.0,3,0,0,0
155,0,credit_card,0.23,676.93,11.2494,28.47,720,13109.6,49360,35.0,0,2,0,1
156,1,debt_consolidation,0.23,797.34,11.2368,9.4,782,15426.0,6717,19.5,1,2,0,0
157,0,all_other,0.23,742.47,10.3108,25.9,695,6888.6,48530,42.1,7,1,1,0
158,1,small_business,0.23,740.01,11.4942,23.77,775,9651.5,52889,35.2,6,2,0,1
159,0,major_purchase,0.23,443.57,11.6001,23.27,667,17562.6,21678,99.0,6,1,0,1
160,1,credit_card,0.23,746.99,11.0116,26.89,774,8095.6,11617,46.4,5,1,0,1
161,1,credit_card,0.23,637.1,10.0035,11.53,629,14723.9,42800,67.9,1,2,1,0
162,0,small_business,0.23,162.58,10.8312,12.0,642,9941.8,4106,91.4,0,1,0,0
163,0,credit_card,0.23,147.06,11.0166,19.2,693,4807.4,34760,62.9,5,1,1,1
164,0,debt_consolidation,0.23,706.13,10.2132,22.13,721,10867.1,19894,24.9,2,0,1,0
165,0,home_improvement,0.2182,581.64,10.6839,26.39,769,4707.1,25468,60.7,0,1,0,1
166,0,home_improvement,0.23,491.47,10.0544,26.28,695,1051.5,49538,40.2,0,2,0,1
167,0,credit_card,0.23,821.17,11.2644,21.64,623,5010.2,59586,42.2,4,2,1,1
168,1,credit_card,0.23,610.65,10.9996,28.71,688,4283.4,24131,97.9,6,0,1,0
169,1,credit_card,0.23,386.72,9.9125,5.36,712,7305.7,17427,27.9,2,1,0,1
170,0,all_other,0.23,401.84,11.1109,28.51,734,16106.1,50065,46.9,7,1,0,1
171,0,debt_consolidation,0.1888,564.46,10.8661,1.93,755,7593.5,24788,16.0,3,2,0,1
172,0,debt_consolidation,0.23,696.23,11.2098,16.67,672,15368.2,11990,17.9,5,2,1,0
173,1,all_other,0.23,529.7,10.6651,2.71,748,10445.4,54171,60.3,1,2,1,0
174,0,debt_consolidation,0.23,482.45,10.4191,17.04,752,1129.4,59504,75.1,4,2,0,0
175,0,all_other,0.23,667.87,10.4375,11.7,783,4208.5,17340,63.6,2,1,1,0
176,0,small_business,0.23,649.47,10.5771,2.45,729,16831.7,9479,32.9,6,1,0,1
177,1,debt_consolidation,0.2092,755.79,10.9113,19.44,790,11270.9,9160,6.0,3,1,0,1
178,0,small_business,0.23,103.17,10.9888,21.94,666,16802.3,35917,47.0,0,1,0,0
179,1,small_business,0.23,691.71,10.7856,5.23,769,6272.0,18599,50.4,1,2,0,1
180,0,small_business,0.23,486.7,10.646,20.83,629,13181.6,37386,77.1,2,2,1,1
181,0,small_business,0.23,113.49,10.6892,5.37,641,14124.4,45558,64.0,3,2,0,1
182,0,major_purchase,0.23,627.16,12.4046,4.12,801,17586.9,341,87.1,2,1,1,0
183,0,debt_consolidation,0.23,659.06,10.4376,4.42,719,1309.0,51591,78.3,4,0,1,1
184,1,credit_card,0.23,495.08,10.5652,17.97,750,17188.0,1749,36.6,7,0,0,1
185,0,all_other,0.23,724.73,12.8763,23.36,746,7657.0,6866,63.2,5,0,1,0
186,0,small_business,0.2073,305.21,11.1526,17.91,765,15245.9,43491,74.7,2,1,0,1
187,0,educational,0.23,221.62,10.072,24.28,671,10260.1,37302,95.7,5,1,0,1
188,1,educational,0.23,348.12,11.4056,17.74,657,10599.0,58707,42.2,7,1,0,0
189,0,small_business,0.23,398.54,10.354,23.92,628,7109.4,34037,64.8,1,2,1,0
190,1,all_other,0.2095,641.54,11.4454,29.3,801,15084.0,25027,39.3,1,1,1,1
191,1,all_other,0.23,768.69,10.7734,11.73,666,5488.2,40127,73.8,0,2,0,1
192,1,debt_consolidation,0.23,662.78,10.6361,4.5,740,9368.1,45721,91.2,6,1,1,1
193,1,home_improvement,0.23,197.89,11.8655,4.06,715,10523.0,40263,91.9,6,2,1,1
194,1,home_improvement,0.23,361.28,11.2398,17.92,654,13622.9,22235,15.7,3,0,0,0
195,0,credit_card,0.23,184.65,11.4838,16.41,706,9017.8,57568,20.4,6,0,1,0
196,1,major_purchase,0.23,633.72,11.161,5.53,637,12564.8,18096,75.5,5,2,1,1
197,1,major_purchase,0.23,260.95,10.6333,26.46,657,9250.0,20791,63.1,7,2,1,0
198,0,all_other,0.23,496.58,11.2668,28.7,649,12208.5,16665,90.5,7,1,0,1
199,0,educational,0.2227,723.06,11.6255,7.6,793,12460.4,17986,31.4,7,0,0,0
200,1,debt_consolidation,0.23,620.3,10.9808,6.21,739,13060.5,12779,84.8,3,0,1,0
201,1,educational,0.2177,303.62,11.981,6.42,814,14996.1,34873,68.4,5,1,0,1
202,1,major_purchase,0.23,332.94,11.4103,11.62,711,10192.3,43725,19.5,1,2,1,1
203,0,credit_card,0.23,605.36,11.0272,25.6,662,4285.7,25765,12.6,7,1,0,0
204,0,small_business,0.23,517.05,11.0509,17.88,747,12553.9,55368,70.3,2,2,1,1
205,1,all_other,0.23,131.93,10.9823,2.03,815,2311.0,28425,15.8,3,1,1,1
206,0,major_purchase,0.23,792.89,10.1493,14.19,731,4722.2,28020,79.4,4,0,1,1
207,1,credit_card,0.23,485.72,10.846,2.71,623,14466.7,4156,55.7,6,1,1,1
208,1,credit_card,0.23,452.36,11.0327,12.19,683,8396.2,54211,47.7,5,1,1,1
209,0,all_other,0.23,218.67,10.6503,12.11,814,9466.8,8894,27.6,7,0,0,1
210,1,credit_card,0.23,370.44,11.1026,19.45,728,17785.7,9864,98.4,5,2,1,1
211,0,all_other,0.211,332.9,10.9128,16.48,819,4997.9,56122,72.2,6,0,0,1
212,0,small_business,0.23,280.13,11.3642,26.24,726,1332.4,31172,77.8,4,2,0,0
213,0,small_business,0.23,532.3,11.2979,0.49,622,2893.3,4097,76.9,3,2,0,0
214,1,home_improvement,0.23,442.93,11.0003,23.22,803,5156.5,26508,58.4,7,2,0,0
215,1,credit_card,0.2281,805.82,10.0797,0.68,780,13340.6,35408,94.0,3,0,1,0
216,0,credit_card,0.2076,850.14,11.9744,9.13,770,14189.0,605,58.4,4,2,0,0
217,1,educational,0.2211,236.55,10.8149,26.39,823,10613.3,45274,52.0,2,1,1,1
218,1,credit_card,0.23,135.09,10.8515,20.71,661,5335.8,40111,27.4,3,2,0,1
219,1,debt_consolidation,0.2,717.54,10.6945,5.16,810,9869.6,711,28.2,2,0,0,1
220,1,home_improvement,0.23,895.63,10.607,14.72,668,1254.3,37107,73.7,2,2,1,1
221,1,debt_consolidation,0.2254,784.06,11.8264,21.66,823,12590.6,13364,33.5,6,0,1,0
222,1,all_other,0.23,70.14,11.7316,28.12,660,11443.1,44065,72.9,6,2,1,1
223,1,major_purchase,0.23,263.57,11.1666,19.03,735,1370.5,22624,95.3,5,0,0,0
224,0,credit_card,0.2201,86.84,10.8355,0.74,785,14889.2,12128,43.9,0,2,1,1
225,0,small_business,0.23,747.66,11.2715,14.99,636,13978.3,30409,9.7,1,2,1,1
226,0,home_improvement,0.23,544.2,10.9443,4.59,634,6239.8,26582,66.7,1,1,1,1
227,1,all_other,0.23,486.66,10.7859,1.43,798,11801.4,20495,1.0,5,1,0,1
228,1,small_business,0.23,521.28,11.1029,17.96,632,11225.4,52705,78.7,7,0,0,1
229,1,small_business,0.23,264.58,10.6353,23.31,748,3434.1,38939,52.6,3,0,0,0
230,0,all_other,0.1848,561.39,11.0514,1.08,817,4285.4,29244,49.0,2,2,0,0
231,0,credit_card,0.23,76.07,11.0225,23.51,749,12614.5,13583,56.9,4,2,1,0
232,0,educational,0.23,599.11,11.2618,21.19,721,16870.4,34121,51.6,7,2,1,0
233,1,credit_card,0.23,674.27,10.5285,22.56,707,10796.8,1528,32.4,2,0,1,1
234,0,educational,0.23,622.07,11.3261,7.34,754,10652.8,53085,28.2,2,0,0,0
235,0,home_improvement,0.23,332.3,10.3562,11.81,740,11993.6,94,41.5,4,2,0,1
236,1,educational,0.23,752.32,10.5565,3.59,725,8489.8,41930,89.5,7,1,0,1
237,0,all_other,0.23,658.21,10.5826,7.17,652,1920.9,20730,13.5,5,0,1,1
238,1,home_improvement,0.23,159.05,10.2568,9.08,759,7740.6,43146,32.5,4,0,0,0
239,1,small_business,0.23,215.87,11.5094,9.58,775,16304.3,21699,19.2,5,2,1,1
240,0,all_other,0.23,591.54,10.3186,5.25,768,14684.1,1569,42.7,0,2,0,0
241,0,credit_card,0.23,296.0,10.4807,5.66,635,16766.2,56916,13.3,6,0,0,0
242,0,home_improvement,0.23,151.52,11.6532,27.04,767,3598.1,45959,76.1,0,2,0,1
243,0,small_business,0.2186,181.72,10.5577,23.52,773,9601.3,2686,10.3,3,1,1,0
244,0,credit_card,0.23,190.77,10.7871,10.33,658,10940.4,1972,66.5,2,2,0,1
245,0,major_purchase,0.2156,456.12,10.2928,28.43,798,4568.7,31803,26.8,5,1,1,0
246,0,small_business,0.23,566.28,11.3998,7.17,730,4416.5,57395,47.2,1,2,0,1
247,1,credit_card,0.23,199.94,11.408,12.2,719,14294.6,34668,20.0,1,1,0,1
248,0,educational,0.23,655.62,11.3434,24.41,771,12421.5,642,73.0,7,2,1,1
249,1,debt_consolidation,0.23,288.86,11.2225,13.29,727,12002.2,41956,94.8,3,2,1,0
250,1,small_business,0.23,314.82,10.9442,7.04,734,5538.8,25666,22.2,5,1,1,1
251,0,home_improvement,0.23,239.97,10.5854,11.06,685,9615.1,38324,95.3,4,0,1,1
252,1,small_business,0.2109,717.43,10.411,15.02,814,1392.2,21019,32.5,4,0,0,0
253,0,major_purchase,0.2098,865.84,11.6739,18.62,823,3209.1,488,55.8,5,1,0,0
254,1,small_business,0.23,468.62,11.3589,12.17,647,9810.3,1101,70.2,5,1,1,0
255,0,small_business,0.23,85.73,10.484,12.94,773,6264.4,37911,19.9,7,2,1,1
256,1,major_purchase,0.23,271.48,10.9239,7.92,624,17416.4,38110,44.5,6,0,1,0
257,1,small_business,0.23,184.34,10.7199,16.06,697,9015.2,19343,6.8,2,2,0,1
258,1,major_purchase,0.23,766.35,10.2231,6.58,823,2420.6,4937,69.7,1,0,0,0
259,0,all_other,0.23,122.13,11.0066,26.03,656,1303.3,46372,41.7,6,1,1,1
260,1,credit_card,0.23,871.5,10.6507,22.42,699,13329.4,9074,89.2,2,1,1,1
261,1,credit_card,0.23,550.24,10.3285,12.31,666,3915.6,11301,27.4,2,1,1,0
262,1,small_business,0.23,490.08,10.0125,22.42,772,4192.8,27140,92.4,0,0,1,0
263,1,home_improvement,0.23,770.25,9.9617,0.21,717,8204.7,42972,14.1,4,2,0,0
264,0,debt_consolidation,0.23,73.42,10.6771,10.33,744,5489.0,59707,60.7,4,0,0,1
265,0,credit_card,0.23,710.58,10.8489,13.21,817,11481.8,37529,30.8,6,2,1,0
266,1,educational,0.23,149.11,10.3748,14.09,729,9256.8,57623,18.2,5,1,1,1
267,1,major_purchase,0.2188,764.66,11.2904,22.46,774,2894.7,39137,9.4,5,2,0,1
268,1,major_purchase,0.23,499.8,10.8607,28.88,640,14340.6,50873,65.6,4,2,0,1
269,1,credit_card,0.23,101.96,11.2461,11.4,665,8239.6,10556,23.3,6,2,1,1
270,1,debt_consolidation,0.23,758.26,10.7903,10.52,818,11384.2,3383,57.3,7,1,1,1
271,1,all_other,0.1897,73.22,10.4277,18.32,800,1067.0,40150,97.9,6,1,1,0
272,0,major_purchase,0.23,167.62,10.9685,8.44,757,11648.8,58508,31.6,2,1,1,1
273,0,home_improvement,0.23,728.15,10.1424,4.24,699,5808.4,44218,3.5,2,1,0,0
274,0,major_purchase,0.23,445.14,11.2237,28.85,661,9404.3,20591,14.3,0,2,0,0
275,1,home_improvement,0.2215,799.18,10.3377,24.29,798,6061.3,29364,11.9,7,1,1,1
276,1,home_improvement,0.226,590.11,11.4509,28.75,784,17936.4,6732,46.3,5,1,1,0
277,1,small_business,0.23,580.0,10.6969,6.53,670,4924.3,20421,74.5,7,0,0,1
278,0,educational,0.23,298.4,11.5375,0.53,743,16518.6,40975,29.6,6,0,1,0
279,1,home_improvement,0.23,163.63,10.2264,13.12,749,16605.4,9993,14.6,3,2,1,1
280,1,small_business,0.23,867.0,10.4933,28.01,720,8157.0,28897,64.1,1,2,1,1
281,1,educational,0.23,139.08,11.1286,4.15,814,6168.1,17397,30.1,0,1,1,1
282,0,all_other,0.23,499.66,11.6023,3.52,646,7477.6,29448,57.5,6,1,1,0
283,0,major_purchase,0.23,281.68,11.9,2.07,674,17818.8,45829,93.4,2,0,1,1
284,0,home_improvement,0.23,274.52,10.9248,22.95,639,11519.5,53092,29.1,3,0,1,0
285,1,educational,0.23,555.4,12.0026,23.58,765,10261.3,24564,51.2,6,2,0,1
286,1,home_improvement,0.23,728.24,10.7262,20.86,755,1610.6,49630,80.7,3,1,0,0
287,1,small_business,0.1966,710.6,11.5593,1.6,827,15413.3,42162,69.2,7,0,1,1
